250,2058,2518,
185,2075,2045,
210,2005,2012,
201,1969,2159,
222,2001,2024,
459,2229,2549,
210,2095,2546,
179,2059,2070,
515,1991,2025,
801,2675,2893,
743,2543,2924,
809,3417,4042,
767,3234,4223,
826,3195,4094,
1228,2827,2955,
962,2769,2879,
853,2938,3161,
712,3116,3958,
686,2990,3030,
685,2703,3117,
689,3010,3029,
522,2402,2825,
551,2695,2901,
797,4646,4865,
818,1912,2011,
638,2885,3087,
557,2573,2865,
548,2355,2694,
555,2219,2596,
534,2363,2756,
542,2231,2613,
522,2245,2649,
532,2324,2634,
537,2447,2763,
535,2353,2694,
672,2817,2948,
533,2220,2620,
665,2931,3930,
705,2768,2930,
539,2200,2638,
542,2287,2702,
522,2163,2585,
571,2322,2701,
537,2373,2683,
569,2975,3055,
603,2699,2921,
552,2453,2726,
548,2516,2764,
536,2497,2756,
550,2349,2679,
541,2221,2610,
570,2575,2811,
589,2381,2426,
544,2180,2347,
562,2280,2376,
554,2318,2401,
559,2220,2386,
576,2422,2399,
535,2224,2350,
534,2216,2336,
720,2548,3446,
661,2752,3356,
624,2430,3397,
621,2395,2410,
646,2564,3498,
619,2496,3487,
680,2447,2471,
644,2404,2414,
823,2824,3436,
746,4082,4280,
666,3810,4268,
654,5144,1318,
645,3893,4291,
611,3875,4294,
637,5247,5257,
642,3833,4272,
669,6346,7263,
552,6192,6278,
798,1498,2467,
502,4506,5306,
909,1446,2433,
601,3888,4218,
692,3788,4236,
622,3990,4246,
620,3970,4267,
649,3979,4255,
783,1422,49,
897,1284,11,
807,1503,42,
1051,1733,42,
743,4472,5414,
820,1594,127,
792,1454,0,
792,1454,0,
797,1461,1484,
797,1461,1484,
815,1447,1480,
1044,1795,1836,
876,1879,1929,
1397,1880,1972,
804,1466,1493,
872,1525,1576,
847,1606,1643,
999,1999,2075,
828,1578,1651,
836,1629,1642,
1051,2092,2107,
1247,2537,2582,
1150,2201,2229,
1396,3410,3490,
1426,2837,2933,
1523,3498,3617,
903,1932,1995,
1405,2950,2992,
948,1835,1879,
848,1731,1756,
885,1854,1853,
794,1689,1743,
1586,2957,3040,
1716,2902,3031,
1769,3221,3286,
1516,3595,3643,
1567,2955,3025,
1988,4094,4158,
1288,3472,3517,
1687,3461,3516,
2121,3700,3756,
1470,3055,3092,
1554,3520,3595,
1610,3161,3157,
874,2919,2958,
1700,4336,4361,
2152,4331,4336,
1902,4129,4219,
1741,4401,4360,
1882,4006,4033,
1722,4250,4241,
1423,3857,3892,
624,
418,
1020,
1102,
1411,5425,5547,
